Laurence Abeille
Alexis Bachelay
Pouria Amirshahi
Brigitte Allain
François Asensi
Isabelle Attard
Danielle Auroi
Laurent Baumel
Huguette Bello
Jean-Pierre Blazy
Alain Bocquet
Michèle Bonneton
Isabelle Bruneau
Marie-George Buffet
Jean-Jacques Candelier
Fanélie Carrey-Conte
Patrice Carvalho
Gaby Charroux
André Chassaigne
Dominique Chauvel
Pascal Cherki
Sergio Coronado
Marc Dolez
Cécile Duflot
Aurélie Filippetti
Jacqueline Fraysse
Geneviève Gaillard
Yann Galut
Linda Gourjade
Edith Gueugneau
Benoît Hamon
Mathieu Hanotin
Christian Hutin
Serge Janquin
Romain Joron
Régis Juanico
Laurent Kalinowski
Jérome Lambert
Jean Lassalle
Jean-Luc Laurent
Christophe Léonard
Noël Mamère
Alfred Marie-Jeanne
Jean-Philippe Nilor
Philippe Nogues
Christian Paul
Michel Pouzol
Patrice Prat
Barbara Romagnan
Jean-Louis Roumégas
Nicolas Sansu
Eva Sas
Gérard Sebaoun
Suzanne Tallard
Thomas Thèvenoud
Paola Zanetti
